policy,n,regret_mean,regret_median,regret_ci95,rank_pct_mean,found_best_rate,saved_pct_A_mean,saved_pct_A_ci95,saved_pct_B_mean,saved_pct_B_ci95,epochs_avoided_mean,false_continue_rate,false_prune_rate,prune_rate,mean_confidence,total_tokens,total_latency_s,score
llm:neutral:llama3.3:70b:L2,1,0.010339758680443786,0.010339758680443786,0.0,0.2,0.0,0.3215193745844948,0.0,0.32045308797036764,0.0,50.0,0.4375,0.125,0.5,1.0,5050,44.92395219986793,0.31011332928992386
llm:neutral:gpt-oss:20b:L3,1,0.010339758680443786,0.010339758680443786,0.0,0.2,0.0,0.3107469040751124,0.0,0.30754080313615717,0.0,56.0,0.0,0.2,0.5,1.0,11365,77.51089540001703,0.2972010444557134
llm:neutral:gpt-oss:120b:L2,1,0.010339758680443786,0.010339758680443786,0.0,0.2,0.0,0.3024310688566407,0.0,0.30057540610139705,0.0,54.0,0.16666666666666666,0.25,0.5,1.0,7224,52.98388089990476,0.29023564742095326
llm:neutral:gemma3:12b:L2,1,0.010339758680443786,0.010339758680443786,0.0,0.2,0.0,0.2832298707764125,0.0,0.282487657572346,0.0,38.0,0.75,0.07142857142857142,0.5,1.0,10195,45.1553001999273,0.2721478988919022
llm:neutral:llama3.3:70b:L3,1,0.010339758680443786,0.010339758680443786,0.0,0.2,0.0,0.2263257475603139,0.0,0.22493449842679253,0.0,37.0,0.6551724137931034,0.06896551724137931,0.5,1.0,12073,105.90118650003569,0.21459473974634874
llm:neutral:gpt-oss:120b:L3,1,0.0,0.0,0.0,0.0,1.0,0.21457940673119183,0.0,0.21319897886116565,0.0,49.0,0.058823529411764705,0.17647058823529413,0.3333333333333333,1.0,11995,75.34665590006625,0.21319897886116565
llm:neutral:llama3.3:70b:L0,1,0.010339758680443786,0.010339758680443786,0.0,0.2,0.0,0.21294854107605346,0.0,0.21222561344747157,0.0,34.0,0.65625,0.0625,0.5,1.0,5514,56.167056400096044,0.20188585476702778
llm:neutral:gpt-oss:20b:L2,1,0.0,0.0,0.0,0.0,1.0,0.18963190107577652,0.0,0.18703979514790706,0.0,43.0,0.30434782608695654,0.08695652173913043,0.3333333333333333,1.0,25668,197.30173899995862,0.18703979514790706
llm:neutral:gpt-oss:20b:L1,1,0.010339758680443786,0.010339758680443786,0.0,0.2,0.0,0.18619412810753255,0.0,0.18307273285590223,0.0,28.0,0.6578947368421053,0.05263157894736842,0.5,1.0,28362,194.17568670021137,0.17273297417545844
llm:neutral:gemma4:31b:L2,1,0.0,0.0,0.0,0.0,1.0,0.17715814824806886,0.0,0.16793885937304429,0.0,40.0,0.38461538461538464,0.0,0.3333333333333333,1.0,22241,1251.7881198000396,0.16793885937304429
llm:neutral:gemma4:31b:L3,1,0.0,0.0,0.0,0.0,1.0,0.16703540571649148,0.0,0.1596179480295283,0.0,38.0,0.39285714285714285,0.0,0.3333333333333333,1.0,29836,967.538829200028,0.1596179480295283
llm:neutral:gemma3:27b:L2,1,0.010339758680443786,0.010339758680443786,0.0,0.2,0.0,0.16768513369429658,0.0,0.1664201808786037,0.0,30.0,0.6388888888888888,0.05555555555555555,0.5,1.0,13126,111.56070000003092,0.1560804221981599
llm:neutral:gemma3:27b:L3,1,0.0,0.0,0.0,0.0,1.0,0.13015825021639327,0.0,0.12906612322874708,0.0,30.0,0.5833333333333334,0.05555555555555555,0.3333333333333333,1.0,17740,131.17877410008805,0.12906612322874708
llm:neutral:gpt-oss:120b:L0,1,0.0,0.0,0.0,0.0,1.0,0.11913205402826314,0.0,0.11849980698265038,0.0,28.0,0.5526315789473685,0.05263157894736842,0.3333333333333333,1.0,13567,101.44039700005669,0.11849980698265038
llm:neutral:gemma3:12b:L0,1,0.0,0.0,0.0,0.0,1.0,0.11497413641902726,0.0,0.11450407830895136,0.0,27.0,0.5897435897435898,0.02564102564102564,0.3333333333333333,1.0,7284,57.75542629981646,0.11450407830895136
llm:neutral:gemma3:27b:L1,1,0.010339758680443786,0.010339758680443786,0.0,0.2,0.0,0.1160184234019538,0.0,0.11520451361232538,0.0,15.0,0.7450980392156863,0.0392156862745098,0.3333333333333333,1.0,15419,151.3155126000056,0.10486475493188159
llm:neutral:llama3.3:70b:L1,1,0.0,0.0,0.0,0.0,1.0,0.07339496032666841,0.0,0.0726913614221913,0.0,17.0,0.6530612244897959,0.04081632653061224,0.3333333333333333,1.0,13176,126.37154599989299,0.0726913614221913
llm:neutral:gemma3:12b:L3,1,0.010339758680443786,0.010339758680443786,0.0,0.2,0.0,0.08217577121344855,0.0,0.08125587116769839,0.0,9.0,0.7017543859649122,0.05263157894736842,0.5,1.0,28253,112.02116850030143,0.0709161124872546
llm:neutral:gpt-oss:120b:L1,1,0.0,0.0,0.0,0.0,1.0,0.06092120749896075,0.0,0.059382814268623234,0.0,14.0,0.6730769230769231,0.038461538461538464,0.3333333333333333,1.0,25256,176.52900240011513,0.059382814268623234
llm:neutral:llama3.1:8b:L1,1,0.0,0.0,0.0,0.0,1.0,0.03181578423430955,0.0,0.031556960218186055,0.0,7.0,0.6610169491525424,0.01694915254237288,0.3333333333333333,1.0,15876,45.51025110005867,0.031556960218186055
llm:neutral:gemma3:12b:L1,1,0.0,0.0,0.0,0.0,1.0,0.02765786662507367,0.0,0.02718157642739415,0.0,6.0,0.7,0.016666666666666666,0.3333333333333333,1.0,18155,87.91175510024186,0.02718157642739415
llm:neutral:gpt-oss:20b:L0,1,0.0,0.0,0.0,0.0,1.0,0.019342031406601897,0.0,0.01733887698572906,0.0,4.0,0.6612903225806451,0.03225806451612903,0.3333333333333333,1.0,40251,310.1055834994186,0.01733887698572906
llm:neutral:gemma4:31b:L0,1,0.0,0.0,0.0,0.0,1.0,0.015184113797366013,0.0,0.010122742531577342,0.0,3.0,0.7619047619047619,0.0,0.16666666666666666,1.0,34186,1880.3773522999836,0.010122742531577342
llm:neutral:gemma3:27b:L0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,1.0,12382,162.4662537999684,0.0
llm:neutral:llama3.1:8b:L0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,1.0,11430,43.68459030025406,0.0
llm:neutral:llama3.1:8b:L2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.803030303030303,0.0,0.0,1.0,21000,51.37188099976629,0.0
llm:neutral:llama3.1:8b:L3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.803030303030303,0.015151515151515152,0.0,1.0,27589,60.390249800286256,0.0
llm:neutral:gemma4:31b:L1,1,0.0,0.0,0.0,0.0,1.0,0.004157917609235885,0.0,-0.005061371265788671,0.0,1.0,0.7076923076923077,0.0,0.3333333333333333,1.0,46853,2704.5867109999526,-0.005061371265788671
