policy,experiment_id,seed,filter_best_loss,real_best_loss,regret,rank_pct,num_runs,num_prunings,total_epochs,epochs_avoided,total_train_time,saved_time_A,saved_time_B,n_decisions,false_continues,false_prunes,llm_calls,input_tokens,output_tokens,total_latency_s,mean_confidence,saved_pct_A,saved_pct_B,found_best
llm:llama3.1:8b:L0,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,0,143,0,7353.651444196701,0.0,0.0,66,54,0,66,13806,396,34.21758300010697,1.0,0.0,0.0,True
llm:llama3.1:8b:L1,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,0,143,0,7353.651444196701,0.0,0.0,66,50,0,66,20142,396,39.530140600007144,1.0,0.0,0.0,True
llm:llama3.1:8b:L2,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,0,143,0,7353.651444196701,0.0,0.0,66,53,0,66,23376,396,39.04116000000795,1.0,0.0,0.0,True
llm:llama3.1:8b:L3,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,0,143,0,7353.651444196701,0.0,0.0,66,55,0,66,29965,396,44.0666368999955,1.0,0.0,0.0,True
llm:gemma3:12b:L0,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,0,143,0,7353.651444196701,0.0,0.0,66,54,0,66,14823,331,52.312611300032586,1.0,0.0,0.0,True
llm:gemma3:12b:L1,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,0,143,0,7353.651444196701,0.0,0.0,66,55,0,66,22413,330,66.10011850003502,1.0,0.0,0.0,True
llm:gemma3:12b:L2,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,1,143,8,7353.651444196701,244.6070146560669,243.48777975606208,58,43,0,66,26571,336,73.004936599973,1.0,0.03326334087388708,0.03311113962958034,True
llm:gemma3:12b:L3,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,0,143,0,7353.651444196701,0.0,0.0,66,54,0,66,35044,331,85.39241210006003,1.0,0.0,0.0,True
llm:gemma3:27b:L0,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,0,143,0,7353.651444196701,0.0,0.0,66,54,0,66,14823,331,77.1037922000396,1.0,0.0,0.0,True
llm:gemma3:27b:L1,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,0,143,0,7353.651444196701,0.0,0.0,66,54,1,66,22413,332,107.822350500006,1.0,0.0,0.0,True
llm:gemma3:27b:L2,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,2,143,51,7353.651444196701,1639.0939178677168,1635.4650356677253,15,0,1,66,26571,371,123.90051970000786,1.0,0.2228952419496636,0.22240176163889155,True
llm:gemma3:27b:L3,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,2,143,51,7353.651444196701,1639.0939178677168,1634.4863566677036,15,0,1,66,35044,365,151.7754451001383,1.0,0.2228952419496636,0.2222686741506623,True
llm:gemma4:31b:L0,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,0,143,0,7353.651444196701,0.0,0.0,66,53,0,66,14823,23897,1158.7566506000585,1.0,0.0,0.0,True
llm:gemma4:31b:L1,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,0,143,0,7353.651444196701,0.0,0.0,66,51,0,66,22413,27065,1343.5584782999504,1.0,0.0,0.0,True
llm:gemma4:31b:L2,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,2,143,36,7353.651444196701,1167.1683988150428,1125.7458738150556,30,12,0,66,26571,35667,1834.0822519999783,1.0,0.1587195704980197,0.15308665121780599,True
llm:gemma4:31b:L3,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,2,143,38,7353.651444196701,1228.3201524790595,1176.2794776470503,28,11,0,66,35044,38481,1940.33087720006,1.0,0.16703540571649148,0.15995855753747176,True
llm:gpt-oss:20b:L0,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,0,143,0,7353.651444196701,0.0,0.0,66,49,0,66,17700,23102,283.9665075998637,1.0,0.0,0.0,True
llm:gpt-oss:20b:L1,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,23,7353.651444196701,999.1358378784997,976.1195619785202,43,27,3,66,23904,33964,401.34416380000766,1.0,0.13586934945998702,0.13273943827577617,False
llm:gpt-oss:20b:L2,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,2,143,50,7353.651444196701,1608.5180410357084,1584.3823014357135,16,1,2,66,27072,43496,501.31654689993593,1.0,0.2187373243404277,0.21545518079811415,True
llm:gpt-oss:20b:L3,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,2,143,37,7353.651444196701,1184.4569090745028,1169.126239074507,29,9,2,66,33661,43926,506.9148552000697,1.0,0.16107058079415004,0.15898581105542461,True
llm:gpt-oss:120b:L0,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,0,143,0,7353.651444196701,0.0,0.0,66,50,0,66,17700,11396,216.10018860001583,1.0,0.0,0.0,True
llm:gpt-oss:120b:L1,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,1,143,0,7353.651444196701,0.0,-4.207921399996849,66,46,1,66,23904,15921,290.9998171000916,1.0,0.0,-0.0005722220358047598,True
llm:gpt-oss:120b:L2,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,2,143,48,7353.651444196701,1547.3662873716917,1537.3983951717041,18,2,1,66,27072,15267,280.0248459999857,1.0,0.21042148912195593,0.20906598671942447,True
llm:gpt-oss:120b:L3,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,2,143,46,7353.651444196701,1472.9271671351264,1461.8401019351543,20,4,1,66,33661,18890,335.6651647000108,1.0,0.20029874659037858,0.19879105136113,True
llm:llama3.3:70b:L0,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,1,143,24,7353.651444196701,733.8210439682007,732.0514244681981,42,29,0,66,13806,396,117.49955199996475,1.0,0.09979002262166124,0.0995493776151048,True
llm:llama3.3:70b:L1,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,0,143,0,7353.651444196701,0.0,0.0,66,50,0,66,20142,396,172.0506300998968,1.0,0.0,0.0,True
llm:llama3.3:70b:L2,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,2,143,47,7353.651444196701,1503.5030439671348,1497.4960799671346,19,3,1,66,23376,396,163.69634620007128,1.0,0.20445666419961445,0.20363979600215038,True
llm:llama3.3:70b:L3,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,2,143,41,7353.651444196701,1293.473049829988,1285.9842630299802,25,9,1,66,29965,396,205.2626241001126,1.0,0.17589534391798803,0.17487696728471452,True
